annot_transcript_id	k562_1_chr20	k562_2_chr20
ENST00000373271.5	0	0
ENST00000421422.1	0	0
ENST00000559296.1	0	0
ENST00000373257.7	0	0
ENST00000632009.1	0	0
ENST00000491528.1	0	0
ENST00000482596.1	0	0
ENST00000483871.6	1	0
ENST00000244020.4	17	19
ENST00000373135.8	0	0
ENST00000432727.1	0	0
ENST00000373092.8	0	0
ENST00000373030.7	9	5
ENST00000373039.4	6	4
ENST00000396863.8	0	0
ENST00000217026.4	10	28
ENST00000372980.3	0	0
ENST00000342272.3	0	0
ENST00000255174.2	29	18
ENST00000439943.5	0	0
ENST00000435163.4	0	0
ENST00000396825.3	2	0
ENST00000316673.8	0	0
ENST00000443598.6	0	0
ENST00000316099.8	0	0
ENST00000412502.1	3	0
ENST00000262605.8	1	0
ENST00000372904.7	0	0
ENST00000456317.1	1	0
ENST00000461134.1	0	0
ENST00000411544.5	0	0
ENST00000255175.5	5	1
ENST00000342374.4	67	47
ENST00000372894.7	5	0
ENST00000372892.7	0	0
ENST00000372891.7	0	0
ENST00000372886.5	0	0
ENST00000349959.3	0	0
ENST00000372874.8	22	8
ENST00000492931.5	0	1
ENST00000537820.1	1	1
ENST00000427598.5	0	0
ENST00000445420.5	0	0
ENST00000372861.4	0	0
ENST00000353703.8	102	108
ENST00000372839.7	11	12
ENST00000537323.5	0	0
ENST00000372824.5	0	0
ENST00000372813.3	119	67
ENST00000434401.1	0	1
ENST00000372806.7	0	2
ENST00000488618.1	1	0
ENST00000372733.3	1	0
ENST00000243918.9	28	14
ENST00000426004.5	0	2
ENST00000453003.1	2	4
ENST00000419593.5	0	0
ENST00000475242.5	0	0
ENST00000452133.1	0	1
ENST00000372723.7	0	0
ENST00000372717.5	0	0
ENST00000360981.8	16	12
ENST00000372712.6	0	0
ENST00000372710.3	0	0
ENST00000443296.1	0	0
ENST00000279036.11	59	23
ENST00000279035.14	1	3
ENST00000638246.1	4	0
ENST00000543458.7	1	0
ENST00000638978.1	1	0
ENST00000372689.9	1	0
ENST00000639499.1	2	1
ENST00000640175.1	0	0
ENST00000455050.2	0	0
ENST00000640272.1	1	0
ENST00000640585.1	0	0
ENST00000639932.1	1	0
ENST00000640986.1	1	0
ENST00000638714.1	0	0
ENST00000640210.1	0	0
ENST00000545755.3	0	1
ENST00000638962.1	0	0
ENST00000638241.1	0	1
ENST00000640253.1	0	0
ENST00000372622.7	32	13
ENST00000456939.5	1	0
ENST00000405520.5	0	0
ENST00000356455.8	0	0
ENST00000335046.7	0	0
ENST00000243893.10	0	0
ENST00000352551.9	0	0
ENST00000372568.4	0	0
ENST00000372555.7	0	0
ENST00000491381.5	0	0
ENST00000342644.9	0	0
ENST00000372542.5	0	0
ENST00000344780.4	0	0
ENST00000486336.1	0	0
ENST00000217455.8	10	4
ENST00000461272.5	0	1
ENST00000488679.5	0	0
ENST00000457981.5	2	4
ENST00000426915.1	3	3
ENST00000255152.2	2	0
ENST00000372520.1	0	0
ENST00000545238.1	0	0
ENST00000372518.4	0	0
ENST00000606788.5	0	0
ENST00000372484.7	9	10
ENST00000354880.9	0	0
ENST00000191018.9	1	0
ENST00000372459.6	1	2
ENST00000484855.2	2	2
ENST00000354050.8	1	0
ENST00000372420.5	2	0
ENST00000372431.7	15	19
ENST00000477313.5	0	0
ENST00000420868.2	0	1
ENST00000647856.1	0	0
ENST00000372409.7	19	8
ENST00000616084.1	4	4
ENST00000628272.1	4	0
ENST00000413737.2	0	0
ENST00000290231.10	4	3
ENST00000372285.7	0	0
ENST00000372276.7	0	0
ENST00000466205.5	0	0
ENST00000543605.5	1	2
ENST00000372230.9	21	22
ENST00000243896.6	0	2
ENST00000317734.12	0	0
ENST00000290246.10	0	0
ENST00000372176.5	0	0
ENST00000396391.5	0	0
ENST00000279027.8	0	0
ENST00000413164.6	0	0
ENST00000372114.3	36	13
ENST00000372102.3	3	0
ENST00000359271.3	0	0
ENST00000360911.7	1	0
ENST00000446994.6	0	0
ENST00000352431.6	2	1
ENST00000461685.5	2	2
ENST00000599904.2	0	0
ENST00000609320.1	0	0
ENST00000371998.7	0	0
ENST00000417781.5	0	0
ENST00000396192.7	0	0
ENST00000262982.2	102	22
ENST00000371856.6	4	0
ENST00000371828.7	1	1
ENST00000360426.8	19	6
ENST00000347458.9	0	0
ENST00000340954.11	0	0
ENST00000371802.5	0	0
ENST00000437404.2	0	1
ENST00000622530.4	9	14
ENST00000371752.5	0	0
ENST00000371743.7	42	19
ENST00000441722.5	115	50
ENST00000417721.5	7	12
ENST00000450535.5	1	0
ENST00000326677.9	3	5
ENST00000428008.5	1	2
ENST00000610973.1	0	2
ENST00000371741.5	0	0
ENST00000361573.2	0	0
ENST00000289431.9	2	3
ENST00000623528.3	2	0
ENST00000244061.5	111	48
ENST00000622999.3	0	0
ENST00000624620.1	0	0
ENST00000625177.3	0	0
ENST00000624666.1	0	0
ENST00000244050.2	1	4
ENST00000371657.9	0	0
ENST00000396059.7	9	4
ENST00000371674.7	253	78
ENST00000557021.5	0	0
ENST00000340309.7	2	1
ENST00000415862.6	1	0
ENST00000461960.5	3	0
ENST00000371652.8	25	17
ENST00000371656.3	0	0
ENST00000453505.6	2	0
ENST00000371658.3	0	2
ENST00000427333.5	0	0
ENST00000411453.2	0	0
ENST00000303004.4	8	15
ENST00000371639.7	0	0
ENST00000371621.4	7	8
ENST00000385283.1	0	0
ENST00000371610.6	1	2
ENST00000396039.1	0	0
ENST00000358791.9	0	0
ENST00000371608.6	0	0
ENST00000445038.5	0	1
ENST00000396032.8	0	0
ENST00000371588.9	35	18
ENST00000466152.5	0	1
ENST00000371582.8	4	1
ENST00000371584.8	2	0
ENST00000244051.2	16	20
ENST00000371523.8	0	0
ENST00000361387.6	0	0
ENST00000395989.7	0	0
ENST00000371515.8	0	0
ENST00000216923.4	3	4
ENST00000371435.6	0	0
ENST00000216862.7	0	0
ENST00000472970.1	0	0
ENST00000371419.6	83	24
ENST00000432629.1	0	0
ENST00000371384.3	59	50
ENST00000437418.1	2	2
ENST00000395914.5	10	6
ENST00000371356.6	2	2
ENST00000347343.6	19	9
ENST00000395911.5	2	1
ENST00000312783.10	16	10
ENST00000395915.7	39	18
ENST00000395913.7	14	12
ENST00000456249.5	1	0
ENST00000217109.8	42	18
ENST00000023939.8	1	1
ENST00000357348.9	182	125
ENST00000395881.7	5	3
ENST00000477573.1	0	0
ENST00000201031.2	0	0
ENST00000395841.6	188	103
ENST00000371242.6	9	2
ENST00000527947.5	5	3
ENST00000356208.9	10	11
ENST00000440234.6	0	0
ENST00000319441.5	0	0
ENST00000485958.1	0	0
ENST00000347215.8	0	0
ENST00000614771.1	0	0
ENST00000244040.3	4	12
ENST00000475243.5	22	31
ENST00000395802.7	1	2
ENST00000476395.1	0	0
ENST00000371149.7	0	0
ENST00000598340.2	0	0
ENST00000371132.8	0	1
ENST00000358029.8	0	0
